Time,Acel. X,Acel. Y,Acel. Z,Rot. X,Rot. Y,Rot. Z
4049,-1.35,1.43,-13.14,-0.78,0.68,-0.29
4084,0.46,0.32,-8.46,-0.48,0.62,-0.45
4118,1.22,2.51,-9.77,0.05,0.48,-0.47
4153,1.34,1.78,-10.37,0.27,0.14,-0.41
4188,0.88,0.19,-8.89,0.43,0.04,-0.09
4223,0.79,-0.04,-10.41,0.41,-0.20,0.21
4258,1.27,0.44,-9.81,0.29,-0.40,0.44
4292,0.92,-0.24,-9.30,0.24,-0.54,0.51
4327,-0.62,-0.64,-11.01,0.24,-0.65,0.41
4362,-2.05,-0.33,-10.75,0.27,-0.57,0.18
4397,-2.57,-0.82,-10.71,0.37,-0.31,-0.03
4432,-1.72,-1.24,-10.23,0.35,-0.08,-0.17
4466,-1.25,-1.30,-9.68,0.25,0.05,-0.19
4500,-0.68,-0.82,-9.58,0.11,0.09,-0.11
4535,-0.32,-1.15,-9.61,-0.08,0.08,0.00
4570,-0.14,-1.16,-9.82,-0.24,0.07,0.08
4605,-0.97,-0.63,-10.26,-0.33,0.07,0.09
4639,-1.47,0.40,-10.77,-0.29,0.09,0.00
4687,-0.31,-0.39,-10.16,-0.09,0.16,-0.17
4722,0.00,-0.05,-10.15,0.03,0.15,-0.19
4757,-0.05,0.51,-9.88,0.12,0.04,-0.09
4792,0.30,0.13,-9.78,0.16,-0.08,0.05
4826,0.18,-0.31,-10.11,0.14,-0.19,0.15
